Unnamed: 0,question,numbers,equation,digit_answer,group_nums,body,ques,type,variation type,id,result
3,"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all , how many liters of oil leaked into the water ?","[6522,5165]","[+,number0,number1]",11687.0,"[15,16,17,32,33,34,47,48,49]","An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all ,",how many liters of oil leaked into the water ?,,[],21,"To find the total number of liters of oil leaked into the water, we need to add the amount of oil leaked before the engineers started fixing the pipe and the amount leaked while they were working.

The amount of oil leaked before the engineers started fixing the pipe is given as 6522 liters.

The amount of oil leaked while the engineers were working is given as 5165 liters.

To find the total amount of oil leaked, we can add these two quantities:

6522 + 5165 = 11687

Therefore, a total of 11687 liters of oil leaked into the water.

#### 11687"
5,"While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?","[5,5,5]","[*,number0,+,number0,number0]",50.0,"[7,8,9,15,16,17,28,29,30,34,35,36]","While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?,,[],35,"Adam answered 5 questions correctly in the first half and 5 questions correctly in the second half. Each question is worth 5 points. To find his final score, we need to calculate the total number of points he earned.

In the first half, Adam earned 5 points per question for a total of $5 \times 5 = 25$ points.
In the second half, Adam also earned 5 points per question for a total of $5 \times 5 = 25$ points.

To find his final score, we add the points from both halves: $25 + 25 = 50$.

Therefore, Adam's final score is 50.

####"
6,Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches . how many did he pick ?,"[34,86]","[-,number1,number0]",52.0,"[1,2,3,24,25,26,30,31,32]",Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches .,how many did he pick ?,,[],37,"To find out how many peaches Mike picked, we can subtract the initial number of peaches from the final number of peaches.

Final number of peaches - Initial number of peaches = Number of peaches Mike picked

Therefore, we can calculate:

86 - 34 = ####"
7,Sally saw number0 dozen birds in a tree . How many birds did Sally see ?,[1],"[*,number0,12.0]",12.0,"[1,2,3,12,13,14]",Sally saw number0 dozen birds in a tree .,How many birds did Sally see ?,,[],39,"A dozen is equal to 12. So if Sally saw 1 dozen birds, she saw 12 birds. 
Therefore, Sally saw 12 birds. 
####"
8,"Paul had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?","[4,11,5]","[/,+,number0,number1,number2]",3.0,"[3,4,5,10,11,12,18,19,20,22,23,24]","Paul had saved up number0 dollars . If he received another number1 dollars for his allowance ,",how many number2 dollar toys could he buy ?,,[],44,"To find out how many 5 dollar toys Paul can buy, we need to divide the total amount of money he has by the cost of each toy.

First, we add the amount of money Paul saved up ($4) to the amount he received for his allowance ($11):
$4 + $11 = $15

Next, we divide the total amount of money ($15) by the cost of each toy ($5):
$15 / $5 = 3

Therefore, Paul can buy 3 five-dollar toys with the amount of money he has.

#### 3"
10,For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . How many piles could she make ?,"[78,30,8]","[/,-,number0,number1,number2]",6.0,"[3,4,5,10,11,12,19,20,21,28,29,30]",For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,How many piles could she make ?,,[],48,"To find out how many piles Bianca could make, we need to subtract the number of candy she ate from the total number of candy she received. 

Total number of candy received = 78
Number of candy eaten = 30

To find the number of candy left, we subtract the number of candy eaten from the total number of candy received:

$ 78 - 30 = 48 $

Now, we need to divide the number of candy left by the number of candy in each pile (8) to find out how many piles Bianca could make:

$ 48 \div 8 = 6 $

Therefore, Bianca could make 6 piles with the remaining candy.

#### 6"
12,"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?","[17,5,3]","[/,-,number0,number1,number2]",4.0,"[1,2,3,13,14,15,29,30,31,38,39,40]","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?,,[],55,"To find out how many students would be in each group, we need to subtract the number of students who didn't get picked from the total number of students, and then divide the result by the number of groups.

The number of students who didn't get picked is 5, and the total number of students is 17. So, the number of students who were put into groups is $17 - 5 = 12$.

Since the students were put into 3 groups, we need to divide the number of students by 3 to find out how many students would be in each group.

$12 \div 3 = 4$

Therefore, there would be 4 students in each group.

#### 4"
17,"Each child has number0 bottle caps . If there are number1 children , how many bottle caps are there in total ?","[5,9]","[*,number0,number1]",45.0,"[2,3,4,9,10,11,18,19,20]","Each child has number0 bottle caps . If there are number1 children ,",how many bottle caps are there in total ?,,[],72,"To find the total number of bottle caps, we need to multiply the number of bottle caps each child has by the number of children. 

Each child has 5 bottle caps, and there are 9 children. 

So, the total number of bottle caps is $5 \times 9$. 

Calculating this, we get $45$. 

Therefore, there are 45 bottle caps in total. 

#### 45"
21,"A textbook costs a bookstore number0 dollars , and the store sells it for number1 dollars . Find the amount of profit based on the selling price .","[44,55]","[-,number1,number0]",11.0,"[4,5,6,13,14,15,24,25,26]","A textbook costs a bookstore number0 dollars , and the store sells it for number1 dollars .",Find the amount of profit based on the selling price .,,[],87,"To find the amount of profit based on the selling price, we need to subtract the cost price from the selling price.

The cost price of the textbook is $44 and the selling price is $55.

To find the profit, we subtract the cost price from the selling price:

$55 - $44 = $11

Therefore, the amount of profit based on the selling price is $11. 

#### 11"
23,A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,"[34,20,13]","[-,+,number0,number2,number1]",27.0,"[2,3,4,12,13,14,19,20,21,30,31,32]",A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin,how many would be in the bin ?,,[],99,"To find the number of oranges in the bin after throwing away some and adding new ones, we need to subtract the number of oranges thrown away from the initial number of oranges and then add the number of new oranges.

Initial number of oranges = 34
Number of oranges thrown away = 20
Number of new oranges added = 13

Number of oranges in the bin after throwing away and adding new ones = (Initial number of oranges - Number of oranges thrown away) + Number of new oranges

= (34 - 20) + 13

= 14 + 13

= 27

Therefore, there would be 27 oranges in the bin. 
####"
30,"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?","[12,7,5]","[*,number1,-,number0,number2]",49.0,"[4,5,6,13,14,15,22,23,24,33,34,35]","A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms ,",how much longer will he take to paint the rest ?,,[],131,"To find out how much longer the painter will take to paint the rest of the rooms, we need to calculate the total time it will take to paint all the rooms and subtract the time already spent.

The painter needs to paint 12 rooms, and each room takes 7 hours to paint. So the total time needed to paint all the rooms is $12 \times 7$.

The painter has already painted 5 rooms, so the time already spent is $5 \times 7$.

To find out how much longer the painter will take, we subtract the time already spent from the total time needed: $(12 \times 7) - (5 \times 7)$.

Calculating this expression, we get $84 - 35$.

Therefore, the painter will take #### more hours to paint the rest of the rooms."
35,Martin has number0 boxes of crayons . Each box holds number1 crayons . How many crayons does Martin have ?,"[8,7]","[*,number0,number1]",56.0,"[1,2,3,9,10,11,16,17,18]",Martin has number0 boxes of crayons . Each box holds number1 crayons .,How many crayons does Martin have ?,,[],142,"To find the total number of crayons Martin has, we need to multiply the number of boxes by the number of crayons in each box.

Number of boxes = 8
Number of crayons in each box = 7

To find the total number of crayons, we can multiply these two numbers together:

Total number of crayons = Number of boxes * Number of crayons in each box
Total number of crayons = 8 * 7

Calculating this multiplication:

Total number of crayons = 56

#### 
56"
36,If Anne wandered for number0 hours at number1 miles per hour . How far did Anne go ?,"[3,2]","[*,number0,number1]",6.0,"[3,4,5,6,7,8,14,15,16]",If Anne wandered for number0 hours at number1 miles per hour .,How far did Anne go ?,,[],143,"To find the distance Anne went, we can use the formula:

Distance = Speed x Time

Given that Anne wandered for 3 hours at a speed of 2 miles per hour, we can substitute these values into the formula:

Distance = 2 miles/hour x 3 hours

Calculating this expression, we get:

Distance = 6 miles

Therefore, Anne went 6 miles. 

####"
41,"Rachel bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?","[7,3,4]","[*,number2,+,number0,number1]",40.0,"[1,2,3,5,6,7,15,16,17,32,33,34]","Rachel bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together ,",how many minutes did it take her to finish ?,,[],150,"To find out how many minutes it took Rachel to finish putting together all the furniture, we need to calculate the total time spent on the chairs and tables separately and then add them together.

First, let's calculate the time spent on the chairs. Rachel bought 7 new chairs and spent 4 minutes on each chair, so the total time spent on chairs is 7 * 4 = 28 minutes.

Next, let's calculate the time spent on the tables. Rachel bought 3 new tables and spent 4 minutes on each table, so the total time spent on tables is 3 * 4 = 12 minutes.

To find the total time spent, we add the time spent on chairs and tables: 28 + 12 = 40 minutes.

Therefore, it took Rachel 40 minutes to finish putting together all the furniture.

#### 40"
42,Lewis saved checking on the grapevines for his last stop . He was told by one of the pickers that they fill number0 drums of grapes per day . How many drums of grapes would be filled in number1 days ?,"[324,9]","[*,number0,number1]",2916.0,"[21,22,23,37,38,39,37,38,39]",Lewis saved checking on the grapevines for his last stop . He was told by one of the pickers that they fill number0 drums of grapes per day .,How many drums of grapes would be filled in number1 days ?,,[],152,"To find the number of drums of grapes filled in 9 days, we can multiply the number of drums filled per day by the number of days.

Given:
Number of drums filled per day = 324
Number of days = 9

To calculate the total number of drums filled in 9 days, we can use the formula:

Total number of drums = Number of drums filled per day × Number of days

Substituting the given values into the formula:

Total number of drums = 324 × 9

Calculating this expression:

Total number of drums = 2916

Therefore, in 9 days, Lewis would fill 2916 drums of grapes.

####2916"
44,Megan has number0 seashells . How many more seashells does she need to find to have number1 seashells in her collection ?,"[19,25]","[-,number1,number0]",6.0,"[1,2,3,15,16,17,18,19,20]",Megan has number0 seashells .,How many more seashells does she need to find to have number1 seashells in her collection ?,,[],154,"To find out how many more seashells Megan needs to have a total of 25 seashells, we can subtract the number of seashells she already has from the desired total.

The number of seashells Megan already has is 19, and the desired total is 25.

So, the calculation would be: $ 25 - 19 = 6 $.

Therefore, Megan needs to find 6 more seashells to have a total of 25 in her collection.
####6"
46,Joan has number0 orange balloons but lost number1 of them . How many orange balloons does Joan have now ?,"[8,2]","[-,number0,number1]",6.0,"[1,2,3,8,9,10,18,19,20]",Joan has number0 orange balloons but lost number1 of them .,How many orange balloons does Joan have now ?,,[],156,"Joan initially has 8 orange balloons. She then loses 2 of them. To find out how many orange balloons Joan has now, we can subtract the number of balloons she lost from the initial number of balloons she had. 

$ 8 - 2 = 6 $

Therefore, Joan now has 6 orange balloons. 

#### 6"
51,Sara picked number0 pears and Sally picked number1 pears from the pear tree . How many pears were picked in total ?,"[45,11]","[+,number0,number1]",56.0,"[1,2,3,6,7,8,18,19,20]",Sara picked number0 pears and Sally picked number1 pears from the pear tree .,How many pears were picked in total ?,,[],165,"To find the total number of pears picked by Sara and Sally, we need to add the number of pears each of them picked.

Sara picked 45 pears and Sally picked 11 pears.

To find the total, we add these two numbers together:

$ 45 + 11 = 56 $

Therefore, a total of 56 pears were picked in total.

#### 56"
52,There are number0 pencils and number1 rulers in the drawer . Sally took number2 pencils out of the drawer . How many pencils are there now ?,"[9,4,4]","[-,number0,number1]",5.0,"[1,2,3,4,5,6,12,13,14,23,24,25]",There are number0 pencils and number1 rulers in the drawer . Sally took number2 pencils out of the drawer .,How many pencils are there now ?,,[],166,"Initially, there are 9 pencils in the drawer. Sally took 4 pencils out of the drawer. To find out how many pencils are left in the drawer, we can subtract the number of pencils Sally took from the initial number of pencils.

$ 9 - 4 = 5 $

Therefore, there are 5 pencils left in the drawer.

#### 5"
53,"Benny received number0 dollars and number1 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had number2 dollars over , how much did he spent on the baseball gear ?","[79,9,32]","[-,number0,number2]",47.0,"[1,2,3,4,5,6,31,32,33,42,43,44]","Benny received number0 dollars and number1 movie tickets for his birthday . He went to a sporting goods store and bought a baseball glove , baseball , and bat . He had number2 dollars over ,",how much did he spent on the baseball gear ?,,[],167,"Let's denote the amount Benny spent on the baseball gear as $x. 

We know that Benny received 79 dollars and had 32 dollars left over after buying the baseball gear. 

So, we can set up the equation: 

$79 - x = 32$

To find the value of x, we can subtract 32 from both sides of the equation: 

$79 - 32 = x$

Simplifying the left side gives us: 

$47 = x$

Therefore, Benny spent 47 dollars on the baseball gear. 

#### 47"
