question,answer
there 's only a week left before christmas . john went out to buy gifts for his family . having 999 for his budget he went to a sports store and bought his brother a new pair of shoes for 165 . how much money does he have left ?,"To find out how much money John has left after buying the shoes, we need to subtract the cost of the shoes from his budget.

John's budget is <<999 and he bought a pair of shoes for >>165.

To find out how much money he has left, we subtract <<165 from >>999.

<<999 - >>165 = <<834

Therefore, John has >>834 left after buying the shoes.

#### 834"
after buying a dress he went to a gardening store and bought his mom some ornamental plants . if the plants originally cost 467 and he was able to get a 399 discount how much did he actually spend on buying the plants ?,"To find out how much he actually spent on buying the plants, we need to subtract the discount from the original cost of the plants.

The original cost of the plants is <<467, and he was able to get a >>399 discount.

To find out how much he actually spent, we subtract the discount from the original cost:

<<467 - >>399 = <<68

Therefore, he actually spent >>68 on buying the plants.

#### 68"
they also prepared some chips . if he prepared 350 grams of chips and his father prepared 268 grams how much chips should his brother prepare if they are to have 800 grams of chips ?,"Of course! Let's solve the math problem step by step.

To find out how many grams of chips the brother should prepare, we can start by adding the amount of chips prepared by the father and the amount prepared by the person mentioned. In this case, the father prepared 268 grams of chips and the person prepared 350 grams of chips. Adding these two amounts will give us the total amount of chips prepared so far.

 268 + 350 = << 268 + 350 = 618 >> 618 

Now, to determine how many grams of chips the brother should prepare to reach a total of 800 grams, we need to subtract the total amount of chips prepared so far from the target amount of 800 grams.

 800 - 618 = << 800 - 618 = 182 >> 182 

Therefore, the brother should prepare 182 grams of chips.

#### 182"
katie loves to travel . on her birthday she decided to go on a trip on a mysterious continent . her first destination was in an island of statues which is 436 miles from her place . she took a plane that made 2 stopovers the 1 stopover after covering 132 miles and the 2 stopover after another 236 miles . how much farther is the island from the 2 stopover ?,"To find out how much farther the island is from the second stopover, we need to subtract the distance covered in the first stopover and the distance covered in the second stopover from the total distance to the island.

The total distance to the island is 436 miles.
The distance covered in the first stopover is 132 miles.
The distance covered in the second stopover is 236 miles.

To find the remaining distance, we subtract the distances covered in the stopovers from the total distance to the island:

436 - 132 - 236 = <<436 - 132 - 236 = 68>> 68

Therefore, the island is 68 miles farther from the second stopover.

#### 68"
after the mountain country she went to the famous beach on the continent . there she collected 291 seashells of different colors . if she has 76 red shells and 49 green shells how many shells are not red or green ?,"To find the number of shells that are not red or green, we need to subtract the number of red shells and green shells from the total number of shells.

First, we add the number of red shells and green shells: 76 + 49 = <<76 + 49 = 125>> 125.

Then, we subtract this sum from the total number of shells: 291 - 125 = <<291 - 125 = 166>> 166.

Therefore, there are 166 shells that are not red or green.

#### 166"
next on her list are the homeless people where she spent a total of 900 . if she gave 325 to the first set of homeless families and 260 to the second set of families how much did she give to the last set of homeless families ?,"To find out how much she gave to the last set of homeless families, we can subtract the amounts she gave to the first and second sets from the total amount she spent.

Total amount spent = <<900
Amount given to the first set of homeless families = >>325
Amount given to the second set of homeless families = <<260

To find the amount given to the last set of homeless families, we subtract the amounts given to the first and second sets from the total amount spent:

Amount given to the last set of homeless families = Total amount spent - Amount given to the first set - Amount given to the second set
Amount given to the last set of homeless families = >>900 - <<325 - >>260

Now we can perform the subtraction:

Amount given to the last set of homeless families = <<315

Therefore, she gave >>315 to the last set of homeless families.
#### 315"
lastly andrew tried to compute his expenses for the game night . if he spent 9 for each game they played and they played a total of 5 games how much money did he spend that night ?," Here is a step-by-step solution to the math problem:

```
Andrew spent <<9 for each game they played.
They played a total of 5 games.
To find the total Andrew spent, we multiply >>9 by 5.
9 * 5 = <<9 * 5 = >> 45 
```

#### 45"
her mom also baked some cookies . if she baked 5 pans of cookies and there are 8 cookies per pan how many cookies did her mom bake for her birthday ?,"To find the total number of cookies her mom baked for her birthday, we need to multiply the number of pans of cookies by the number of cookies per pan.

Number of pans of cookies = 5
Number of cookies per pan = 8

To find the total number of cookies, we multiply the number of pans of cookies by the number of cookies per pan:

 5 * 8 = << 5 * 8 = 40 >> 40 

Therefore, her mom baked 40 cookies for her birthday.
#### 40"
they planned to serve some cold drinks as well . if they plan to make 9 pitchers of drinks and each pitcher can fill 6 glasses how many glasses of drinks are they planning to prepare in total ?,"To find the total number of glasses of drinks they are planning to prepare, we need to multiply the number of pitchers by the number of glasses each pitcher can fill.

Number of pitchers: 9
Number of glasses each pitcher can fill: 6

To find the total number of glasses, we can multiply the number of pitchers by the number of glasses each pitcher can fill:

 9 * 6 = << 9 * 6 = 54 >> 54 

Therefore, they are planning to prepare a total of 54 glasses of drinks.
#### 54"
for the roof john would need 2 sets of metal bars for support . if each set has 7 metal bars how many metal bars are there in all ?,"To find the total number of metal bars, we need to multiply the number of sets by the number of metal bars in each set. In this case, John needs 2 sets of metal bars for support, and each set has 7 metal bars. So, we can calculate the total number of metal bars as follows:

2 * 7 = <<2 * 7 = 14>> 14

Therefore, there are 14 metal bars in total.

#### 14"
