question,numbers,equation,digit_answer,group_nums,body,ques,type,variation type,id,result
Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes . How many are left ?,"[3,4,5]","[*,number0,number1]",12,"[1,2,3,8,9,10,16,17,18,21,22,23]",Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes .,How many are left ?,,[],5,"Maggi had 3 packages of cupcakes, and there were 4 cupcakes in each package. So, the total number of cupcakes she had initially is:

$3 \times 4 = 12$

Next, Maggi ate 5 cupcakes. To find out how many cupcakes are left, we need to subtract the number she ate from the initial total:

$12 - 5 = 7$

So, Maggi has 7 cupcakes left.

#### 7"
"You deposit number0 dollars in a savings account that pays an annual interest rate of number1 % . How much simple interest would you earn in number2 years , in dollars ?","[70,3,2,5]","[*,*,*,number0,number1,number2,0.01]","5,25","[1,2,3,14,15,16,25,26,27,28,29,30]",You deposit number0 dollars in a savings account that pays an annual interest rate of number1 % .,"How much simple interest would you earn in number2 years , in dollars ?",,[],6,"To calculate the simple interest earned in 2 years, we can use the formula for simple interest:

Simple Interest ($SI$) = Principal ($P$) × Rate ($R$) × Time ($T$)

Where:
- $P$ is the principal amount (initial deposit),
- $R$ is the annual interest rate (in decimal form),
- $T$ is the time in years.

In this case:
- $P$ = $70$ dollars
- $R$ = $3\%$, which is equivalent to $0.03$ in decimal form
- $T$ = $2$ years

Now, plug these values into the formula:

$SI$ = $70$ × $0.03$ × $2$

Now, calculate each part of the formula:

$SI$ = $70$ × $0.06$

$SI$ = $4.20$

So, you would earn $4.20$ dollars in simple interest in 2 years.

#### 4.20"
"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook , how long will it take him to cook the rest ?","[15,8,9]","[*,number2,-,number0,number1]",63,"[4,5,6,11,12,13,17,18,19,30,31,32]","A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook ,",how long will it take him to cook the rest ?,,[],8,"The chef has already cooked 8 potatoes and needs to cook 15 in total. To find out how many potatoes he still needs to cook, we can subtract the number of potatoes he has already cooked from the total number of potatoes needed. 

Total number of potatoes needed - Number of potatoes already cooked = Number of potatoes still needed

15 - 8 = 7

So, the chef still needs to cook 7 potatoes. 

Since each potato takes 9 minutes to cook, we can multiply the number of potatoes still needed by the cooking time for each potato to find out how long it will take to cook the rest. 

Number of potatoes still needed * Cooking time per potato = Total cooking time for the rest

7 * 9 = 63

Therefore, it will take the chef 63 minutes to cook the rest of the potatoes. 

####63"
It takes number0 apples to make number1 pie . How many apples does it take to make number2 pies ?,"[4,1,504]","[*,number0,number2]",2016,"[1,2,3,5,6,7,16,17,18,16,17,18]",It takes number0 apples to make number1 pie .,How many apples does it take to make number2 pies ?,,[],9,"To find out how many apples it takes to make 504 pies, we can set up a proportion. 

We know that it takes 4 apples to make 1 pie. Let's represent the number of apples needed to make 504 pies as ""x"". 

So we can set up the proportion: 

4 apples / 1 pie = x apples / 504 pies

To solve for x, we can cross multiply:

4 * 504 pies = 1 pie * x apples

Simplifying the equation:

2016 apples = x apples

Therefore, it takes 2016 apples to make 504 pies.

####"
"Isabel baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one , how much cups of flour does she still need ?","[3,5,5]","[*,number1,-,number1,number0]",10,"[1,2,3,6,7,8,15,16,17,30,31,32]","Isabel baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one ,",how much cups of flour does she still need ?,,[],10,"Isabel baked 3 brownies, but she needed a total of 5 brownies for her party. Each brownie requires 5 cups of flour.

To find out how many cups of flour she still needs, we can first determine how many brownies she has already made, and then calculate the flour needed for the remaining brownies.

Isabel made 3 brownies, and she needed a total of 5 brownies, so she still needs 5 - 3 = 2 more brownies.

Now, we can calculate the flour needed for the remaining 2 brownies:
2 brownies * 5 cups of flour per brownie = 10 cups of flour.

So, Isabel still needs 10 cups of flour for the remaining brownies.

####10"
"Sean has number0 apples . Susan gives Sean number1 more . Later , Sean buys number2 tickets at the store . How many apples does Sean have in all ?","[9,8,18]","[+,number0,number1]",17,"[1,2,3,7,8,9,14,15,16,26,27,28]","Sean has number0 apples . Susan gives Sean number1 more . Later , Sean buys number2 tickets at the store .",How many apples does Sean have in all ?,,[],13,"Let's break this problem down step by step:

1. Sean starts with 9 apples.
2. Susan gives Sean 8 more apples, so now he has 9 + 8 apples.
3. Sean buys 18 tickets at the store.

To find out how many apples Sean has in all, we need to add the apples he had initially to the apples Susan gave him and subtract the cost of the tickets.

9 (initial apples) + 8 (apples from Susan) - 18 (tickets) = 9 + 8 - 18 = 17 - 18 = -1

So, Sean has -1 apples in this scenario.

#### -1"
"Frank made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?","[19,11,2]","[/,-,number0,number1,number2]",4,"[1,2,3,12,13,14,21,22,23,31,32,33]","Frank made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",how many number2 dollar games could he buy with the money he had left ?,,[],16,"To find out how many 2 dollar games Frank can buy with the money he had left, we need to subtract the amount he spent on mower blades from the amount he made mowing lawns.

Amount Frank made mowing lawns = $19
Amount Frank spent on mower blades = $11

To find the amount of money Frank had left, we subtract the amount spent on mower blades from the amount made mowing lawns:

$19 - $11 = $8

Frank had $8 left after buying the mower blades.

Now, to find out how many 2 dollar games Frank can buy with $8, we divide the amount he had left by the cost of each game:

$8 ÷ $2 = 4

Frank can buy 4 2-dollar games with the money he had left.

####4"
Beth has number0 packs of crayons . Each pack has number1 crayons in it . She also has number2 extra crayons . How many crayons does Beth have altogether ?,"[4,10,6]","[*,number0,number1]",40,"[1,2,3,9,10,11,17,18,19,26,27,28]",Beth has number0 packs of crayons . Each pack has number1 crayons in it . She also has number2 extra crayons .,How many crayons does Beth have altogether ?,,[],18,"Beth has 4 packs of crayons, and each pack contains 10 crayons. To find out how many crayons she has in total, we need to multiply the number of packs by the number of crayons in each pack and then add the extra crayons she has.

Step 1: Calculate the number of crayons in the packs:
$4 \times 10 = 40$

Beth has 40 crayons in the packs.

Step 2: Add the extra crayons:
$40 + 6 = 46$

Beth has 46 crayons in total.

#### 46"
Christine wandered number0 miles at number1 miles per hour . How long did Christine wander ?,"[20,4]","[/,number0,number1]",5,"[1,2,3,4,5,6,12,13,14]",Christine wandered number0 miles at number1 miles per hour .,How long did Christine wander ?,,[],29,"To find out how long Christine wandered, we can use the formula for time:

\[ \text{Time} = \frac{\text{Distance}}{\text{Speed}} \]

In this case, the distance is 20 miles, and the speed is 4 miles per hour. Plugging these values into the formula:

\[ \text{Time} = \frac{20}{4} \]

Now, we'll perform the calculation:

\[ \text{Time} = 5 \]

So, Christine wandered for 5 hours.

#### 5"
"A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them , how many more problems does she have to grade ?","[7,17,8]","[*,number0,-,number1,number2]",63,"[2,3,4,11,12,13,19,20,21,30,31,32]","A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them ,",how many more problems does she have to grade ?,,[],274,"To find out how many more problems the teacher has to grade, we can break it down into steps:

Step 1: Determine the total number of problems on the worksheets.
- Each worksheet has 7 problems.
- If there are 17 worksheets, the total number of problems is $17 \times 7$.

Step 2: Determine how many problems the teacher has already graded.
- The teacher has already graded 8 worksheets.
- Since each worksheet has 7 problems, the number of problems already graded is $8 \times 7$.

Step 3: Calculate the number of problems the teacher has left to grade.
- Subtract the number of problems already graded from the total number of problems.

Now, let's calculate it step by step:

Step 1: $17 \times 7 = 119$
Step 2: $8 \times 7 = 56$
Step 3: $119 - 56 = 63$

So, the teacher has 63 more problems to grade.####"
