question,answer
julia played tag with 18 kids on monday . she played tag with 10 kids on tuesday . how many more kids did she play with on monday than on tuesday ?,"To find out how many more kids Julia played with on Monday than on Tuesday, we need to subtract the number of kids she played with on Tuesday from the number of kids she played with on Monday.

The number of kids Julia played with on Monday is 18, and the number of kids she played with on Tuesday is 10.

So, the calculation is: <<18 - 10>>.

Simplifying this calculation gives us: <<8>>.

Therefore, Julia played with 8 more kids on Monday than on Tuesday.

#### 8"
julia played tag with 11 kids on monday . she played tag with 12 kids on tuesday . how many more kids did she play with on tuesday than on monday ?,"To find out how many more kids Julia played with on Tuesday than on Monday, we need to subtract the number of kids she played with on Monday from the number of kids she played with on Tuesday.

Let's represent the number of kids Julia played with on Monday as M and the number of kids she played with on Tuesday as T.

M = 11 (kids on Monday)
T = 12 (kids on Tuesday)

To find the difference, we subtract M from T:

T - M = 12 - 11

Calculating the difference:

T - M = 1

Therefore, Julia played with 1 more kid on Tuesday than on Monday.

#### 1"
julia played tag with 5 kids on monday . she played tag with some more kids on tuesday . if she played with a total of 15 kids how many kids did she play with on tuesday ?,"Let's assume that Julia played with x kids on Tuesday. 

According to the given information, Julia played with 5 kids on Monday. So, the total number of kids she played with on Monday and Tuesday is 5 + x.

We also know that the total number of kids she played with on both days is 15. 

Therefore, we can set up the equation: 5 + x = 15.

To solve for x, we can subtract 5 from both sides of the equation: x = 15 - 5.

Simplifying the right side of the equation gives us: x = 10.

So, Julia played with 10 kids on Tuesday. 

#### 10"
julia played tag with some kids on monday . she played tag with 14 kids on tuesday . if she played with a total of 16 kids how many kids did she play with on monday ?,"Let's assume that the number of kids Julia played with on Monday is represented by the variable <<x>>. 

According to the information given, Julia played with 14 kids on Tuesday. So, the total number of kids she played with on Monday and Tuesday is <<x + 14>>. 

We also know that the total number of kids Julia played with is 16. So, we can set up the equation x + 14 = <<x + 14 = 16>> 16 to represent this situation. 

To solve for <<x>>, we can subtract 14 from both sides of the equation: 

x + 14 - 14 = <<x + 14 - 14 = 16 - 14>> 16 - 14

Simplifying the equation gives us:

x = <<x = 2>> 2

Therefore, Julia played with 2 kids on Monday. 

#### 2"
julia played tag with 16 kids on monday . if she played tag with 12 more kids on monday than on tuesday how many kids did she play with on tuesday ?,"Let's assume that Julia played with x kids on Tuesday. According to the given information, she played with 12 more kids on Monday than on Tuesday. So, on Monday, she played with x + 12 kids.

We know that Julia played tag with 16 kids on Monday. Therefore, we can set up the equation:

x + 12 = 16

To find the value of x, we can subtract 12 from both sides of the equation:

x + 12 - 12 = 16 - 12

Simplifying the equation:

x = 4

So, Julia played with 4 kids on Tuesday.

#### 4"
julia played tag with 14 kids on tuesday . if she played tag with 8 more kids on monday than on tuesday how many kids did she play with on monday ?,"Let's denote the number of kids Julia played tag with on Tuesday as x>>. According to the problem, Julia played tag with 14 kids on Tuesday, so we have the equation <<x = <<x>>. According to the problem, Julia played tag with 14 kids on Tuesday, so we have the equation <<x = 14>> 14.

On Monday, Julia played tag with 8 more kids than on Tuesday. This can be represented as <<x + 8>>. Therefore, the number of kids Julia played with on Monday is <<x + 8>>.

Substituting the value of x>> from the first equation, we have <<x + 8 = <<x>> from the first equation, we have <<x + 8 = 14 + 8>> 14 + 8.

Simplifying the right side of the equation, we get x + 8 = <<x + 8 = 22>> 22.

Therefore, Julia played tag with 22 kids on Monday.

#### 22"
julia played tag with 17 kids on monday 15 kids on tuesday and 2 kids on wednesday . how many kids did she play with altogether ?,"To find the total number of kids Julia played with altogether, we need to add up the number of kids she played with on each day.

On Monday, Julia played with 17 kids.
On Tuesday, Julia played with 15 kids.
On Wednesday, Julia played with 2 kids.

To find the total, we add these numbers together:

 17 + 15 + 2 = << 17 + 15 + 2 = 34 >> 34 

Therefore, Julia played with 34 kids altogether.

#### 34"
julia played tag with 15 kids on monday 18 kids on tuesday and 97 kids on wednesday . how many kids did she play with on monday and tuesday ?,"To find out how many kids Julia played with on Monday and Tuesday, we need to add the number of kids she played with on each day.

On Monday, Julia played with 15 kids.
On Tuesday, Julia played with 18 kids.

To find the total number of kids she played with on Monday and Tuesday, we can add these two numbers together.

 15 + 18 = << 15 + 18 = 33 >> 33 

Therefore, Julia played with 33 kids on Monday and Tuesday.

#### 33"
julia played tag with 5 kids on monday 9 kids on tuesday and 15 kids on wednesday . how many kids did she play with on monday and wednesday ?,"To find out how many kids Julia played with on Monday and Wednesday, we need to add the number of kids she played with on each of those days.

On Monday, Julia played with 5 kids.
On Wednesday, Julia played with 15 kids.

To find the total number of kids Julia played with on Monday and Wednesday, we add these two numbers together:

5 + 15 = <<5 + 15 = 20>> 20

Therefore, Julia played with 20 kids on Monday and Wednesday. 
#### 20"
julia played tag with 2 kids on monday 14 kids on tuesday and 16 kids on wednesday . how many kids did she play with on tuesday and wednesday ?,"To find out how many kids Julia played with on Tuesday and Wednesday, we need to add the number of kids she played with on each day.

On Tuesday, Julia played with 14 kids.
On Wednesday, Julia played with 16 kids.

To find the total number of kids Julia played with on Tuesday and Wednesday, we add these two numbers together:

 14 + 16 = << 14 + 16 = 30 >> 30 

Therefore, Julia played with 30 kids on Tuesday and Wednesday.

#### 30"
